"sku","status"
"12023-5318",2
"12023-5390",2
"12024-5318",2
"12024-5390",2
"12026-5318",2
"12026-5390",2
"12027-5318",2
"12027-5390",2
"12029-5318",2
"12029-5390",2
"12031-5318",2
"12031-5325",2
"12043-5333",2
"12045-5333",2
"12046-5320",2
"12049-5320",2
"12049-5331",2
"12328-5318",2
"12328-5325",2
"12329-5318",2
"12329-5325",2
"12332-5318",2
"12332-5337",2
"12335-5332",2
"12338-5420",2
"12338-5431",2
"12345-5320",2
"12345-5332",2
"70001-0309",2
"70001-0320",2
"70001-0326",2
"70001-0329",2
"70001-0332",2
"70001-0339",2
"70001-0364",2
"70001-0418",2
"70001-0485",2
"70002-0304",2
"70002-0322",2
"70002-0329",2
"70002-0340",2
"70002-0341",2
"70002-0343",2
"70002-0344",2
"70002-0346",2
"70002-0418",2
"70003-0309",2
"70003-0320",2
"70003-0324",2
"70003-0326",2
"70003-0338",2
"70003-0339",2
"70003-0341",2
"70003-0344",2
"70003-0346",2
"70003-0418",2
"70003-0481",2
"70003-0484",2
"70003-0485",2
"70008-0309",2
"70008-0318",2
"70008-0320",2
"70008-0326",2
"70008-0340",2
"70008-0341",2
"70008-0343",2
"70008-0344",2
"70008-0346",2
"70008-0364",2
"70008-0481",2
"70008-0485",2
"70009-0304",2
"70009-0318",2
"70009-0326",2
"70009-0329",2
"70009-0332",2
"70009-0340",2
"70009-0341",2
"70009-0364",2
"71401-0318",2
"71401-0325",2
"71401-0337",2
"72100-5333",2
"72100-5364",2
"72102-5331",2
"72102-5337",2
"72305-5320",2
"72305-5332",2
"72306-5320",2
"72306-5333",2
"72430-5320",2
"72430-5332",2
"72430-5338",2
"72440-5331",2
"72440-5337",2
"72441-5331",2
"72522-5418",2
"72522-5432",2
"72522-5443",2
"72544-5320",2
"72620-5331",2
"72620-5337",2
"72682-5309",2
"72682-5364",2
"72691-5304",2
"72691-5330",2
"72691-5332",2
"72691-5338",2
"72691-5364",2
"72766-5332",2
"72766-5338",2
"72770-5332",2
"72770-5337",2
"72865-5320",2
"72865-5332",2
"72866-5325",2
"72866-5331",2
"72866-5339",2
"72871-5431",2
"72872-5431",2
"72872-5437",2
"72873-5364",2
"72875-5331",2
"72893-5331",2
"72896-5332",2
"72898-5304",2
"72898-5325",2
"72898-5331",2
"72898-5432",2
"72898-5443",2
"72898-5450",2
"72902-5330",2
"72986-5331",2
"72986-5337",2
"72988-5331",2
"72989-5331",2
"72990-5332",2
"72992-5332",2
"72992-5337",2
"72996-5333",2
"72998-5332",2
"81126-5304",2
"81126-5318",2
"81126-5330",2
"81126-5331",2
"81126-5343",2
"81156-5302",2
"81156-5330",2
"85036-5320",2
"85036-5321",2
"85036-5325",2
"85036-5338",2
"85077-5315",2
"85077-5330",2
"85077-5333",2
"85077-5337",2
"85077-5339",2
"85300-5309",2
"85300-5316",2
"85300-5324",2
"85300-5340",2
"85300-5344",2
"85301-5320",2
"85301-5324",2
"85302-5320",2
"85302-5322",2
"85302-5325",2
"85302-5331",2
"85302-5463",2
"85302-5485",2
"85306-5315",2
"85392-5343",2
"85392-5344",2
"85400-5309",2
"85400-5322",2
"85400-5326",2
"85400-5330",2
"85400-5331",2
"85400-5343",2
"85404-5318",2
"85404-5331",2
"85404-5364",2
"85411-5309",2
"85411-5320",2
"85411-5331",2
"85411-5343",2
"85421-5309",2
"85421-5326",2
"85421-5331",2
"85423-5309",2
"85423-5326",2
"85423-5331",2
"85425-5309",2
"85425-5330",2
"85425-5341",2
"85426-5316",2
"85426-5331",2
"85426-5341",2
"85431-5309",2
"85431-5326",2
"85431-5331",2
"85432-5320",2
"85432-5326",2
"85432-5332",2
"85432-5338",2
"85433-5320",2
"85433-5325",2
"85433-5326",2
"85433-5330",2
"85438-5320",2
"85438-5330",2
"85438-5343",2
"85441-5331",2
"85441-5337",2
"85443-5309",2
"85443-5341",2
"85462-5330",2
"85462-5343",2
"85466-5304",2
"85466-5330",2
"85470-5320",2
"85470-5332",2
"85470-5341",2
"85471-5320",2
"85471-5332",2
"85471-5341",2
"85477-5309",2
"85477-5325",2
"85477-5332",2
"85478-5309",2
"85478-5320",2
"85478-5326",2
"85478-5332",2
"85478-5338",2
"85480-5309",2
"85480-5326",2
"85480-5331",2
"85480-5343",2
"85480-5364",2
"85500-5316",2
"85500-5325",2
"85500-5331",2
"85500-5343",2
"85500-5344",2
"86180-5309",2
"86180-5321",2
"86180-5325",2
"86180-5333",2
"86180-5355",2
"86180-5364",2
"86180-5443",2
"86180-5450",2
"86180-5463",2
"86180-5486",2
"86251-5309",2
"86251-5333",2
"86251-5355",2
"86251-5364",2
"86253-5325",2
"86253-5343",2
"86253-5364",2
"86254-5309",2
"86254-5333",2
"86259-5309",2
"86259-5333",2
"86259-5355",2
"86259-5364",2
"86261-5309",2
"86262-5329",2
"86262-5355",2
"86262-5364",2
"86264-5309",2
"86264-5333",2
"86266-5309",2
"86266-5333",2
"86266-5355",2
"86266-5364",2
"86267-5309",2
"86267-5355",2
"86268-5309",2
"86268-5332",2
"86281-5604",2
"86281-5631",2
"86283-5325",2
"86283-5604",2
"86283-5631",2
"86285-5325",2
"86285-5604",2
"86285-5631",2
"86291-5309",2
"86291-5326",2
"86291-5331",2
"86291-5364",2
"86292-5309",2
"86292-5326",2
"86292-5332",2
"86293-5309",2
"86293-5318",2
"86293-5321",2
"86293-5330",2
"86295-5318",2
"86295-5321",2
"86295-5330",2
"86296-5304",2
"86296-5333",2
"86296-5338",2
"86296-5364",2
"86297-5304",2
"86297-5322",2
"86297-5329",2
"86297-5331",2
"86297-5332",2
"86297-5344",2
"86300-5418",2
"86300-5485",2
"86334-5333",2
"86335-5333",2
"86349-5332",2
"86367-5630",2
"86367-5632",2
"86368-5332",2
"86369-5333",2
"86371-5432",2
"86371-5443",2
"86371-5450",2
"86371-5463",2
"86371-5486",2
"86375-5409",2
"86375-5443",2
"86375-5450",2
"86382-5309",2
"86382-5332",2
"86404-5315",2
"86405-5332",2
"86414-5420",2
"86414-5432",2
"86414-5443",2
"86414-5450",2
"86414-5486",2
"86417-5420",2
"86417-5443",2
"86417-5450",2
"86417-5463",2
"86417-5486",2
"86419-5443",2
"86419-5450",2
"86419-5455",2
"86419-5463",2
"86422-5433",2
"86422-5463",2
"86422-5486",2
"86425-5320",2
"86425-5333",2
"86425-5339",2
"86426-5331",2
"86426-5338",2
"86430-5304",2
"86430-5325",2
"86430-5326",2
"86430-5339",2
"86432-5320",2
"86432-5332",2
"86432-5339",2
"86437-5320",2
"86439-5332",2
"86439-5337",2
"86440-5318",2
"86440-5325",2
"86440-5331",2
"86441-5318",2
"86441-5325",2
"86441-5331",2
"86442-5320",2
"86442-5333",2
"86442-5339",2
"86443-5332",2
"86443-5337",2
"86446-5321",2
"86446-5338",2
"86447-5331",2
"86449-5331",2
"86450-5331",2
"86451-5326",2
"86451-5333",2
"86451-5337",2
"86451-5364",2
"86452-5333",2
"86452-5339",2
"86463-5309",2
"86463-5326",2
"86463-5332",2
"86464-5320",2
"86464-5332",2
"86465-5331",2
"86465-5364",2
"86468-5320",2
"86468-5332",2
"86474-5331",2
"86475-5331",2
"86476-5309",2
"86476-5321",2
"86476-5325",2
"86476-5332",2
"86476-5339",2
"86479-5409",2
"86479-5420",2
"86479-5432",2
"86479-5443",2
"86479-5450",2
"86479-5463",2
"86479-5482",2
"86917-5325",2
"86917-5332",2
"86917-5355",2
"86917-5364",2
"88120-5318",2
"88120-5390",2
"88121-5309",2
"88121-5318",2
"88121-5390",2
"88122-5309",2
"88122-5330",2
"88123-5309",2
"88123-5330",2
"88124-5309",2
"88124-5330",2
"88255-4332",2
"88255-5325",2
"88425-5320",2
"88425-5325",2
"88425-5326",2
"88425-5332",2
"88426-5318",2
"88426-5320",2
"88426-5325",2
"88427-5320",2
"88427-5332",2
"88427-5338",2
"88445-5599",2
"88446-5599",2
"88447-5404",2
"88447-5431",2
"88448-5404",2
"88448-5431",2
"88449-5404",2
"88449-5418",2
"88449-5432",2
"88449-5485",2
"88450-5404",2
"88450-5418",2
"88450-5432",2
"88450-5485",2
"88452-5425",2
"88452-5432",2
"88453-5425",2
"88453-5432",2
"88617-5304",2
"88617-5318",2
"88617-5326",2
"88617-5338",2
"88620-5318",2
"88620-5325",2
"88620-5326",2
"88620-5332",2
"88620-5343",2
"88621-5316",2
"88621-5337",2
"88621-5338",2
"88621-5364",2
"88621-5390",2
"88624-5309",2
"88624-5325",2
"88624-5332",2
"88624-5343",2
"88632-5318",2
"88632-5320",2
"88632-5326",2
"88632-5364",2
"88684-5320",2
"88684-5332",2
"88749-5304",2
"88749-5309",2
"88749-5332",2
"88749-5364",2
"88750-5304",2
"88750-5309",2
"88750-5326",2
"88750-5337",2
"88750-5338",2
"88750-5390",2
"88751-5390",2
"88752-5330",2
"88753-5330",2
"88754-5330",2
"88755-5332",2
"88755-5337",2
"88756-5332",2
"88756-5337",2
"88758-5343",2
"88758-5390",2
"88759-5343",2
"88759-5390",2
"88760-5343",2
"88760-5390",2
"88763-5309",2
"88763-5316",2
"88763-5325",2
"88764-5309",2
"88764-5338",2
"88766-5304",2
"88766-5318",2
"88766-5325",2
"88766-5332",2
"88766-5343",2
"88781-5326",2
"88781-5332",2
"88781-5343",2
"88781-5364",2
"88786-5332",2
"88786-5338",2
"88791-5325",2
"88791-5332",2
"88795-5309",2
"88795-5318",2
"88797-5304",2
"88797-5309",2
"88797-5318",2
"88797-5325",2
"88797-5404",2
"88797-5418",2
"88797-5432",2
"88798-5320",2
"88798-5326",2
"88798-5338",2
"88799-5318",2
"88799-5332",2
"88859-5318",2
"88859-5320",2
"88859-5325",2
"88859-5338",2
"88944-5304",2
"88944-5332",2
"88944-5343",2
"88972-5318",2
"88972-5320",2
"88972-5338",2
"88974-5418",2
"88974-5485",2
"88980-5332",2
