sku,price
88980-4362,95
88980-4362-36,95
88980-4362-38,95
88980-4362-40,95
88980-4362-42,95
88980-4362-44,95
88980-5186,95
88980-5186-36,95
88980-5186-38,95
88980-5186-40,95
88980-5186-42,95
88980-5186-44,95
88980-5304,95
88980-5304-36,95
88980-5304-38,95
88980-5304-40,95
88980-5304-42,95
88980-5314,95
88980-5314-36,95
88980-5314-38,95
88980-5314-40,95
88980-5314-42,95
88980-5314-44,95
88980-5332,95
88980-5332-36,95
88980-5332-38,95
88980-5332-40,95
88980-5332-42,95
88980-5332-44,95
88980-5509,95
88980-5509-36,95
88980-5509-38,95
88980-5509-40,95
88980-5509-42,95
88980-5509-44,95
88980-5525,95
88980-5525-36,95
88980-5525-38,95
88980-5525-40,95
88980-5525-42,95
88980-5525-44,95
88980-5528,95
88980-5528-36,95
88980-5528-38,95
88980-5528-40,95
88980-5528-42,95
88980-5528-44,95
88980-6501,95
88980-6501-36,95
88980-6501-38,95
88980-6501-40,95
88980-6501-42,95
88980-6501-44,95
88980-6509,95
88980-6509-36,95
88980-6509-38,95
88980-6509-40,95
88980-6509-42,95
88980-6509-44,95
88980-6517,95
88980-6517-36,95
88980-6517-38,95
88980-6517-40,95
88980-6517-42,95
88980-6517-44,95
88980-6525,95
88980-6525-36,95
88980-6525-38,95
88980-6525-40,95
88980-6525-42,95
88980-6525-44,95
88980-6527,95
88980-6527-36,95
88980-6527-38,95
88980-6527-40,95
88980-6527-42,95
88980-6527-44,95
88980-6536,95
88980-6536-36,95
88980-6536-38,95
88980-6536-40,95
88980-6536-42,95
88980-6536-44,95
88998-4334,95
88998-4334-36,95
88998-4334-38,95
88998-4334-40,95
88998-4334-42,95
88998-4334-44,95
88998-5307,95
88998-5307-36,95
88998-5307-38,95
88998-5307-40,95
88998-5307-42,95
88998-5307-44,95
88998-5525,95
88998-5525-36,95
88998-5525-38,95
88998-5525-40,95
88998-5525-42,95
88998-5525-44,95
88998-5552,95
88998-5552-36,95
88998-5552-38,95
88998-5552-40,95
88998-5552-42,95
88998-5552-44,95
